date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:35	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Mon,%2007%20Jul%202025%2007:27:34%20GMT	https://www.hardifinserv.in/wp-admin/admin-ajax.php	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-admin/admin-ajax.php	(from https://www.hardifinserv.in/)
12:57:35	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:27:35%20GMT	http://www.hardifinserv.in/?wordfence_lh=1&hid=03D215B62E2F50F9087D089473C8EC11	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/indexcd14.html	(from https://www.hardifinserv.in/)
12:57:35	322468/322468	---M--	200	added ('OK')	image/jpeg	etag:%224eba4-5b238eea-c31c3c21f442b53;;;%22	https://www.hardifinserv.in/wp-content/uploads/2018/06/bg1.jpg?id=3392	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2018/06/bg13e45.jpg	(from https://www.hardifinserv.in/)
12:57:35	35590/35590	---M--	200	added ('OK')	image/png	etag:%228b06-6426ea01-8dc04e52d381c15a;;;%22	https://www.hardifinserv.in/wp-content/uploads/2023/03/New-Logo-Hardi-Finserv-01.png	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2023/03/New-Logo-Hardi-Finserv-01.png	(from https://www.hardifinserv.in/)
12:57:35	1575/1575	---M--	200	added ('OK')	image/png	etag:%22627-5f7c72ec-151fd60cda064fa4;;;%22	https://www.hardifinserv.in/wp-content/uploads/2020/10/Google-Play-Store.png	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2020/10/Google-Play-Store.png	(from https://www.hardifinserv.in/)
12:57:36	2146/2146	---M--	200	added ('OK')	image/png	etag:%22862-5f7c72e9-1641487d29a4a6b2;;;%22	https://www.hardifinserv.in/wp-content/uploads/2020/10/Apple-Store.png	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2020/10/Apple-Store.png	(from https://www.hardifinserv.in/)
12:57:37	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:27:36%20GMT	http://www.hardifinserv.in/wp-content/uploads/2018/06/slide1.jpg	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/wp-content/uploads/2018/06/slide1.jpg	(from https://www.hardifinserv.in/)
12:57:37	85034/85034	---MCZ	200	added ('OK')	text/html	etag:%22395567-1751870649;gz%22	https://www.hardifinserv.in/invest-online/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/invest-online/index.html	(from https://www.hardifinserv.in/)
12:57:37	96635/96635	---MCZ	200	added ('OK')	text/html	etag:%22395607-1751871705;gz%22	https://www.hardifinserv.in/about/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/about/index.html	(from https://www.hardifinserv.in/)
12:57:37	101496/101496	---MCZ	200	added ('OK')	text/html	etag:%22395544-1751868930;gz%22	https://www.hardifinserv.in/about/core-team/	E:/Hardi/Hardi%20Finserv/www.hardifinserv.in/about/core-team/index.html	(from https://www.hardifinserv.in/)
